FIFO| MRU| NUF|OPTIMAL
  12|  12|  13|   9|empate
  12|  12|  10|   9| NUF
  15|  15|  12|  11| NUF
   8|   8|   8|   8|empate
  55|  58|  57|  40|FIFO
  18|  18|  20|  16|empate
  22|  22|  24|  20|empate
  43|  43|  45|  30|empate
  43|  40|  44|  29| MRU
  61|  63|  58|  38| NUF
  44|  49|  48|  31|FIFO
  58|  58|  58|  58|empate
 101| 101| 100|  78| NUF
  38|  39|  34|  28| NUF
  21|  18|  18|  17|empate
  43|  46|  40|  30| NUF
  96|  95| 100|  69| MRU
  36|  39|  34|  26| NUF
  27|  27|  30|  21|empate
